authorID,name
39353573,Torsten  Hain
39714235,Marta Maria Geraldes Teixeira
39739363,James N. Derr
39810044,Peter A.  White
39962875,Cristina P.  Vieira
40077728,Shigetou  Namba
40200326,Rayapati A. Naidu
40237087,Freek T. Bakker
40277250,Brian Thomas Foley
40294231,Marc W.  Kirschner
40462847,Wietse  de Boer
40471701,Jeffrey D. Silberman
40474233,Kazuki  Saito
40513216,Hamish G. Spencer
40575409,Shin-Ru  Shih
40579687,Jun  Wang
40657939,Mark V. Erdmann
41188552,Andrew  Mitchell
46455205,Kanetsu  Sugawara
46547070,Kentaro  Kato
46560240,Yoshikazu  Tanaka
46621059,Masahiro  Kato
46850599,William D.  Rawlinson
46920639,Miyuki  Nishijima
46949619,Takayuki  Aoki
47036549,Yo-ichi  Matsuda
47133835,Catherine  Hänni
47231177,Tadashi  Kajita
47316737,Klaus-Peter  Koepfli
47559780,George  Amato
47655228,Hironobu  Fukami
47729929,Craig C. Moritz
47743386,Chiaki  Kato
47760656,Nobuhiro  Iritani
47936210,Claude P.  Muller
48009423,James M. Cook
48043103,Susan A. Allen
48045754,Tetsuya  Iida
48063967,Karen Luisa Haag
48094296,Jian  Wang
48120204,Hermann  Meyer
48212351,John M. Archibald
48316207,Satoru  Arai
48357892,Atsushi  Toyoda
48522385,Kimiko  Yamamoto
48751093,Steven H. D. Haddock
48819678,Kazuya  Ichimura
48845691,Eric  Delaporte
48856026,Makoto  Yamakawa
49009201,Sven  Bergström
49051031,Jun  Zhang
49096766,Pierre E.  Rollin
49179107,David W. Macdonald
49252284,Jing  Chen
49258018,Kimiyuki  Tsuchiya
49359835,Tetsuya  Mizutani
49491574,Ian R. McDonald
49507850,Katsumi  Matsuura
49662583,Toshiyuki  Fukuhara
49714761,Ken-Ichiro  Ishida
49718113,Makoto  Osaki
49800742,Ricardo  Parreira
50010374,Joachim  Frey
50080584,X. S. Li
50168378,Timothy P. L. Smith
50184152,Akinori  Kimura
50220750,Paul Alexander Lawson
50273986,Jocelyn Kenneth Campbell Rose
50300507,Yoko  Takahashi
50306278,Mark L. Blaxter
50350604,Kaoru  Hanada
50397068,Anna  Papa
50500830,Hiroshi  Ushijima
50502276,D. Timothy J.  Littlewood
50569062,Taeko K. Naruse
50648123,Yukio  Ishikawa
50650732,Makoto  Ohnishi
50651924,Min  Li
50784250,Haruko  Takeyama
51028286,Luis  Rubio
66816214,Josefa  Antón
71101431,Takeshi  Nishio
72942619,Ken-ichiro  Suzuki
74035562,Hiroyuki  Shimizu
77387961,Bo-Hye  Nam
79403916,Masato  Nikaido
82918228,Peter  Deplazes
83180699,Zhi-Hui  Su
83774076,Enrique  Moriones
87419212,Kerry  O’Donnell
88057736,Helen F. James
88283518,Vivianne G. A. A. Vleeshouwers
88351109,Koki  Taniguchi
89267232,Myriam  Harry
90124902,Marie-Laure  Chaix
90629427,Jean-Marc  Reynes
101465381,Axel  Schmidt
104495859,Luis-Miguel  Gonzalez
113917074,Philippe  de Lajudie
113954886,Kristel  Van Laethem
114802251,Mario  Van Poucke
119650059,Harry J. Flint
121256342,Jung-Hoon  Yoon
121317014,Libia  Sanz
121342439,Theo A. van Alen
122316923,Yoshiaki  Hara
123106481,Wei-Jen  Chen
123519236,Peter  Andolfatto
134049379,Henri-Jean  Boulouis
143608502,Fred S. Dietrich
143612832,Emmanuel J. P. Douzery
143635839,Fumihiko  Sato
143638176,Takashi AokiT. Aoki
143649263,Edward R. B. Moore
143652200,Hans-Peter  Klenk
143656883,Marc  Boutry
143661101,Aileen D Elliot
143668857,Martin S.  Williamson
143669220,Tohru  Dairi
143699979,Nicole  Vidal
143703605,Axel  Meyer
143724101,Francisco Jose Ayala
143725527,Siegfried  Scherer
143733282,Matthew T. G. Holden
143743023,Wolf-Rainer  Abraham
143782541,Peter  Simmonds
143785997,Frances M. D. Gulland
143791278,Ian A.  Wilson
143818433,Jeffrey L. Bennetzen
143827413,Anne-Mieke  Vandamme
143844476,Kenji  Maeda
143871257,Richard W.  Michelmore
143872915,Katsuya  Gomi
143874037,Steven J. B.  Cooper
143885229,Ryoji  Yamaguchi
143889532,Patrick M. Gillevet
143907325,Tomáš  Scholz
143914223,Mike S. M. Jetten
143914639,Hiroshi  Yamasaki
143923803,JENNIFER A.  LEONARD
143930356,Heinz  Feldmann
143957820,Sophien  Kamoun
143962245,Martyn  Kennedy
143989902,Lars G Paulín
144010213,Michael  Wagner
144032323,Byrappa  Venkatesh
144052879,Wendy C. Gibson
144053689,Alexander  Plyusnin
144068688,Klaus F. X. Mayer
144086833,Mats  Thulin
144110632,Shin-Ichi  Oka
144115017,David  Blair
144134274,Sarah  Samadi
144184457,Fernando A.  Osorio
144188990,Jun  Yokoyama
144196930,Marco  Salemi
144198559,Carolyn  Williamson
144203392,Frank  Kirchhoff
144217503,Andrew J.  Roger
144234474,Björn  Olsen
144258685,Hiroshi  Kataoka
144262168,David C. Page
144263615,Ronald I Swanstrom
144276687,SEAN W.  GRAHAM
144281156,Albert D. M. E.  Osterhaus
144295924,ROBERT K.  WAYNE
144400979,Antoine  Danchin
144401941,Alan  Cooper
144403054,Richard  Reinhardt
