"","author_id","name_initial","name","num_ssid_1997","num_ssid_1998","num_ssid_1999","num_ssid_2000","num_ssid_2001","num_ssid_2002","num_ssid_2003","num_ssid_2004","num_ssid_2005","num_ssid_2006","num_ssid_2007","num_ssid_2008","num_ssid_2009","num_ssid_2010","num_ssid_2011","num_ssid_2012","num_ssid_2013","num_ssid_2014","num_ssid_2015","num_ssid_2016","num_ssid_2017"
"78",2047465,"Giraud,E.","Eric  Giraud",1,NA,1,4,3,1,NA,2,NA,NA,4,NA,NA,NA,1,NA,3,1,5,1,2
"79",2049471,"Chilton,N.B.","Neil B.  Chilton",5,11,8,3,4,5,4,NA,3,4,4,1,6,3,7,1,6,6,4,1,1
"80",2053789,"Amann,R.I.","Rudolf I. Amann",2,3,6,9,12,3,11,5,14,7,11,4,6,8,15,7,8,1,2,5,2
"81",2068869,"Learn,G.H.","Gerald H.  Learn",2,9,4,2,2,1,2,1,4,4,1,NA,9,5,4,6,5,5,5,12,8
"82",2076033,"Geiser,D.M.","David M. Geiser",NA,2,NA,1,2,1,2,3,4,5,5,3,7,3,1,1,2,2,1,2,1
"83",2086979,"Hattori,M.","Masahira  Hattori",6,1,2,23,21,6,5,12,7,10,2,15,6,4,21,14,15,11,19,4,7
"84",2090852,"Berg,D.E.","Douglas E.  Berg",1,6,3,3,2,2,6,7,NA,1,3,2,1,3,3,1,6,1,1,1,NA
"85",2091265,"Bonfante,P.","Paola  Bonfante",NA,3,4,3,3,7,3,2,5,10,4,6,7,4,3,6,4,5,1,NA,1
"86",2092763,"Jermiin,L.S.","Lars S. Jermiin",3,4,1,2,3,1,1,3,2,NA,3,NA,2,NA,NA,NA,1,NA,NA,1,4
"87",2101134,"Hankeln,T.","Thomas  Hankeln",NA,2,2,2,2,3,1,2,4,7,4,2,NA,2,NA,2,2,5,NA,1,1
"88",2102477,"Goffinet,B.","Bernard  Goffinet",1,1,1,8,NA,1,2,4,2,3,2,4,NA,2,5,5,4,5,6,6,7
"89",2106611,"Wilke,T.","Thomas  Wilke",NA,1,NA,3,2,2,3,5,NA,1,3,3,3,NA,3,2,4,3,3,5,2
"90",2107733,"Morgante,M.","Michele  Morgante",2,1,NA,NA,1,4,1,3,1,1,9,NA,NA,NA,4,1,4,1,1,1,NA
"91",2110930,"Terauchi,R.","Ryohei  Terauchi",4,1,1,2,1,NA,2,NA,3,NA,4,3,1,NA,1,2,2,1,10,1,2
"92",2126195,"Jeanthon,C.","Christian  Jeanthon",1,2,1,NA,5,2,5,2,9,4,NA,1,NA,1,3,NA,2,2,1,1,NA
"93",2141801,"Asakawa,S.","Shuichi  Asakawa",1,6,2,14,3,6,3,9,4,6,4,1,1,NA,1,NA,NA,4,2,2,NA
"94",2155328,"Palmer,J.D.","Jeffrey D.  Palmer",2,2,5,9,8,4,2,7,NA,5,2,5,NA,6,4,2,5,NA,4,3,NA
"95",2159352,"Ohno,M.","Motonori  Ohno",2,NA,1,1,NA,1,2,NA,NA,1,NA,1,1,1,1,1,1,3,1,1,NA
"96",2165492,"Mccouch,S.R.","Susan R.  McCouch",2,1,NA,2,1,NA,1,1,NA,4,3,NA,3,NA,NA,NA,NA,1,1,2,1
"97",2166497,"Pontarotti,P.A.","Pierre Antoine Pontarotti",4,2,1,NA,NA,2,3,NA,1,NA,1,2,NA,NA,4,NA,1,1,NA,1,NA
"98",2170730,"Depamphilis,C.W.","Claude W.  dePamphilis",3,1,1,2,1,3,NA,NA,5,3,6,7,NA,1,4,1,3,1,1,4,NA
"99",2170993,"Bowen,B.W.","BRIAN W.  BOWEN",2,2,5,4,1,1,1,NA,3,3,4,4,2,9,6,6,4,5,2,5,2
"100",2171623,"Houben,A.","Andreas  Houben",1,1,NA,1,NA,NA,1,NA,2,1,1,NA,1,4,2,1,2,1,1,4,1
"101",2175054,"Oren,A.","Aharon  Oren",NA,2,1,1,NA,1,NA,5,3,NA,8,4,7,7,5,2,5,3,2,2,NA
"102",2175328,"Crandall,K.A.","Keith A.  Crandall",3,1,3,7,1,1,1,4,5,7,7,7,9,3,5,10,2,4,1,1,5
"103",2187471,"Kulski,J.K.","Jerzy Kazimierz Kulski",1,NA,NA,2,2,4,3,5,6,5,NA,3,3,NA,NA,2,2,2,1,NA,NA
"104",2190396,"Glockner,G.","Gernot  Glöckner",1,1,1,2,2,1,1,2,6,5,4,5,2,1,2,1,6,NA,1,NA,NA
"105",2192391,"Makarova,K.S.","Kira S. Makarova",NA,NA,1,NA,2,1,1,1,1,2,NA,7,NA,NA,2,1,NA,NA,1,1,1
